"","price","volume","date","ticker"
"960",18794,0,2003-11-12,"^BVSP"
"961",18755,0,2003-11-13,"^BVSP"
"962",18986,0,2003-11-14,"^BVSP"
"963",18669,0,2003-11-17,"^BVSP"
"964",18813,0,2003-11-18,"^BVSP"
"965",18807,0,2003-11-19,"^BVSP"
"966",19199,0,2003-11-20,"^BVSP"
"967",19248,0,2003-11-21,"^BVSP"
"968",19691,0,2003-11-24,"^BVSP"
"969",19810,0,2003-11-25,"^BVSP"
"970",19695,0,2003-11-26,"^BVSP"
"971",19961,0,2003-11-27,"^BVSP"
"972",20184,0,2003-11-28,"^BVSP"
"973",20521,0,2003-12-01,"^BVSP"
"974",20458,0,2003-12-02,"^BVSP"
"975",20540,0,2003-12-03,"^BVSP"
"976",20414,0,2003-12-04,"^BVSP"
"977",20880,0,2003-12-05,"^BVSP"
"978",20889,0,2003-12-08,"^BVSP"
"979",21260,0,2003-12-09,"^BVSP"
"980",20973,0,2003-12-10,"^BVSP"
"981",21296,0,2003-12-11,"^BVSP"
"982",20974,0,2003-12-12,"^BVSP"
"983",20710,0,2003-12-15,"^BVSP"
"984",20760,0,2003-12-16,"^BVSP"
"985",21199,0,2003-12-17,"^BVSP"
"986",21489,0,2003-12-18,"^BVSP"
"987",21386,0,2003-12-19,"^BVSP"
"988",21630,0,2003-12-22,"^BVSP"
"989",21688,0,2003-12-23,"^BVSP"
"990",21807,0,2003-12-26,"^BVSP"
"991",22045,0,2003-12-29,"^BVSP"
"992",22236,0,2003-12-30,"^BVSP"
"993",22445,0,2004-01-02,"^BVSP"
"994",23532,0,2004-01-05,"^BVSP"
"995",23576,0,2004-01-06,"^BVSP"
"996",23320,0,2004-01-07,"^BVSP"
"997",23717,0,2004-01-08,"^BVSP"
"998",23917,0,2004-01-09,"^BVSP"
"999",24237,0,2004-01-12,"^BVSP"
"1000",23940,0,2004-01-13,"^BVSP"
"1001",23399,0,2004-01-14,"^BVSP"
"1002",22962,0,2004-01-15,"^BVSP"
"1003",23155,0,2004-01-16,"^BVSP"
"1004",23385,0,2004-01-19,"^BVSP"
"1005",23679,0,2004-01-20,"^BVSP"
"1006",23302,0,2004-01-21,"^BVSP"
"1007",22969,0,2004-01-22,"^BVSP"
"1008",23471,0,2004-01-23,"^BVSP"
"1009",24350,0,2004-01-26,"^BVSP"
"1010",24226,0,2004-01-27,"^BVSP"
"1011",23852,0,2004-01-28,"^BVSP"
"1012",22386,0,2004-01-29,"^BVSP"
"1013",21851,0,2004-01-30,"^BVSP"
"1014",21787,0,2004-02-02,"^BVSP"
"1015",22281,0,2004-02-03,"^BVSP"
"1016",21685,0,2004-02-04,"^BVSP"
"1017",21092,0,2004-02-05,"^BVSP"
"1018",21969,0,2004-02-06,"^BVSP"
"1019",21962,0,2004-02-09,"^BVSP"
"1020",22171,0,2004-02-10,"^BVSP"
"1021",23197,0,2004-02-11,"^BVSP"
"1022",23063,0,2004-02-12,"^BVSP"
"1023",22530,0,2004-02-13,"^BVSP"
"1024",22189,0,2004-02-16,"^BVSP"
"1025",22426,0,2004-02-17,"^BVSP"
"1026",22000,0,2004-02-18,"^BVSP"
"1027",20951,0,2004-02-19,"^BVSP"
"1028",21337,0,2004-02-20,"^BVSP"
"1029",21609,0,2004-02-25,"^BVSP"
"1030",21450,0,2004-02-26,"^BVSP"
"1031",21755,0,2004-02-27,"^BVSP"
"1032",22499,0,2004-03-01,"^BVSP"
"1033",22442,0,2004-03-02,"^BVSP"
"1034",22550,0,2004-03-03,"^BVSP"
"1035",22393,0,2004-03-04,"^BVSP"
"1036",22873,0,2004-03-05,"^BVSP"
"1037",22993,0,2004-03-08,"^BVSP"
"1038",22674,0,2004-03-09,"^BVSP"
"1039",21670,0,2004-03-10,"^BVSP"
"1040",20763,0,2004-03-11,"^BVSP"
"1041",21776,0,2004-03-12,"^BVSP"
"1042",21234,0,2004-03-15,"^BVSP"
"1043",21613,0,2004-03-16,"^BVSP"
"1044",21901,0,2004-03-17,"^BVSP"
"1045",22370,0,2004-03-18,"^BVSP"
"1046",22261,0,2004-03-19,"^BVSP"
"1047",21663,0,2004-03-22,"^BVSP"
"1048",21205,0,2004-03-23,"^BVSP"
"1049",20985,0,2004-03-24,"^BVSP"
"1050",21000,0,2004-03-25,"^BVSP"
"1051",21541,0,2004-03-26,"^BVSP"
"1052",21531,0,2004-03-29,"^BVSP"
"1053",22043,0,2004-03-30,"^BVSP"
"1054",22142,0,2004-03-31,"^BVSP"
"1055",22647,0,2004-04-01,"^BVSP"
"1056",22949,0,2004-04-02,"^BVSP"
"1057",23146,0,2004-04-05,"^BVSP"
"1058",23072,0,2004-04-06,"^BVSP"
"1059",22443,0,2004-04-07,"^BVSP"
"1060",22725,0,2004-04-08,"^BVSP"
"1061",22780,0,2004-04-12,"^BVSP"
"1062",22620,0,2004-04-13,"^BVSP"
"1063",22312,0,2004-04-14,"^BVSP"
"1064",21739,0,2004-04-15,"^BVSP"
"1065",21769,0,2004-04-16,"^BVSP"
"1066",21627,0,2004-04-19,"^BVSP"
"1067",21078,0,2004-04-20,"^BVSP"
"1068",21142,0,2004-04-22,"^BVSP"
"1069",21590,0,2004-04-23,"^BVSP"
"1070",21324,0,2004-04-26,"^BVSP"
"1071",21317,0,2004-04-27,"^BVSP"
"1072",20474,0,2004-04-28,"^BVSP"
"1073",19865,0,2004-04-29,"^BVSP"
"1074",19607,0,2004-04-30,"^BVSP"
"1075",19709,0,2004-05-03,"^BVSP"
"1076",19988,0,2004-05-04,"^BVSP"
"1077",20026,0,2004-05-05,"^BVSP"
"1078",19190,0,2004-05-06,"^BVSP"
"1079",18620,0,2004-05-07,"^BVSP"
"1080",17604,0,2004-05-10,"^BVSP"
"1081",18537,0,2004-05-11,"^BVSP"
"1082",18326,0,2004-05-12,"^BVSP"
"1083",18402,0,2004-05-13,"^BVSP"
"1084",18611,0,2004-05-14,"^BVSP"
"1085",18122,0,2004-05-17,"^BVSP"
"1086",18556,0,2004-05-18,"^BVSP"
"1087",18688,0,2004-05-19,"^BVSP"
"1088",18240,0,2004-05-20,"^BVSP"
"1089",18285,0,2004-05-21,"^BVSP"
"1090",18669,0,2004-05-24,"^BVSP"
"1091",18860,0,2004-05-25,"^BVSP"
"1092",19069,0,2004-05-26,"^BVSP"
"1093",19734,0,2004-05-27,"^BVSP"
"1094",19667,0,2004-05-28,"^BVSP"
"1095",19545,0,2004-05-31,"^BVSP"
"1096",19546,0,2004-06-01,"^BVSP"
"1097",19717,0,2004-06-02,"^BVSP"
"1098",19400,0,2004-06-03,"^BVSP"
"1099",19819,0,2004-06-04,"^BVSP"
"1100",20447,0,2004-06-07,"^BVSP"
"1101",20284,0,2004-06-08,"^BVSP"
"1102",19865,0,2004-06-09,"^BVSP"
"1103",19834,0,2004-06-11,"^BVSP"
"1104",19488,0,2004-06-14,"^BVSP"
"1105",20047,0,2004-06-15,"^BVSP"
"1106",20460,0,2004-06-16,"^BVSP"
"1107",20335,0,2004-06-17,"^BVSP"
"1108",20333,0,2004-06-18,"^BVSP"
"1109",20293,0,2004-06-21,"^BVSP"
"1110",20199,0,2004-06-22,"^BVSP"
"1111",20836,0,2004-06-23,"^BVSP"
"1112",20708,0,2004-06-24,"^BVSP"
"1113",20750,0,2004-06-25,"^BVSP"
"1114",20351,0,2004-06-28,"^BVSP"
"1115",20801,0,2004-06-29,"^BVSP"
"1116",21149,0,2004-06-30,"^BVSP"
"1117",21349,0,2004-07-01,"^BVSP"
"1118",21568,0,2004-07-02,"^BVSP"
"1119",21670,0,2004-07-05,"^BVSP"
"1120",21188,0,2004-07-06,"^BVSP"
"1121",21171,0,2004-07-07,"^BVSP"
"1122",20887,0,2004-07-08,"^BVSP"
"1123",21532,0,2004-07-12,"^BVSP"
"1124",21677,0,2004-07-13,"^BVSP"
"1125",21673,0,2004-07-14,"^BVSP"
"1126",22065,0,2004-07-15,"^BVSP"
"1127",22447,0,2004-07-16,"^BVSP"
"1128",22102,0,2004-07-19,"^BVSP"
"1129",22361,0,2004-07-20,"^BVSP"
"1130",21810,0,2004-07-21,"^BVSP"
"1131",21730,0,2004-07-22,"^BVSP"
"1132",21591,0,2004-07-23,"^BVSP"
"1133",21318,0,2004-07-26,"^BVSP"
"1134",21737,0,2004-07-27,"^BVSP"
"1135",22168,0,2004-07-28,"^BVSP"
"1136",22228,0,2004-07-29,"^BVSP"
"1137",22337,0,2004-07-30,"^BVSP"
"1138",22448,0,2004-08-02,"^BVSP"
"1139",22373,0,2004-08-03,"^BVSP"
"1140",22178,0,2004-08-04,"^BVSP"
"1141",21330,0,2004-08-05,"^BVSP"
"1142",21653,0,2004-08-06,"^BVSP"
"1143",21261,0,2004-08-09,"^BVSP"
"1144",21737,0,2004-08-10,"^BVSP"
"1145",21570,0,2004-08-11,"^BVSP"
"1146",21570,0,2004-08-12,"^BVSP"
"1147",21401,0,2004-08-13,"^BVSP"
"1148",21764,0,2004-08-16,"^BVSP"
"1149",22061,0,2004-08-17,"^BVSP"
"1150",22779,0,2004-08-18,"^BVSP"
"1151",22935,0,2004-08-19,"^BVSP"
"1152",23196,0,2004-08-20,"^BVSP"
"1153",22852,0,2004-08-23,"^BVSP"
"1154",22870,0,2004-08-24,"^BVSP"
"1155",23058,0,2004-08-25,"^BVSP"
"1156",22582,0,2004-08-26,"^BVSP"
"1157",22597,0,2004-08-27,"^BVSP"
"1158",22869,0,2004-08-30,"^BVSP"
"1159",22803,0,2004-08-31,"^BVSP"
"1160",22513,0,2004-09-01,"^BVSP"
"1161",22688,0,2004-09-02,"^BVSP"
"1162",22415,0,2004-09-03,"^BVSP"
"1163",22502,0,2004-09-06,"^BVSP"
"1164",22534,0,2004-09-08,"^BVSP"
"1165",22286,0,2004-09-09,"^BVSP"
"1166",21968,0,2004-09-10,"^BVSP"
"1167",21809,0,2004-09-13,"^BVSP"
"1168",22309,0,2004-09-14,"^BVSP"
"1169",22344,0,2004-09-15,"^BVSP"
"1170",22876,0,2004-09-16,"^BVSP"
"1171",23074,0,2004-09-17,"^BVSP"
"1172",23078,0,2004-09-20,"^BVSP"
"1173",23106,0,2004-09-21,"^BVSP"
"1174",22749,0,2004-09-22,"^BVSP"
"1175",22944,0,2004-09-23,"^BVSP"
"1176",22972,0,2004-09-24,"^BVSP"
"1177",22834,0,2004-09-27,"^BVSP"
"1178",23231,0,2004-09-28,"^BVSP"
"1179",23208,0,2004-09-29,"^BVSP"
"1180",23245,0,2004-09-30,"^BVSP"
"1181",23777,0,2004-10-01,"^BVSP"
