ref_date,BA,NOC,SO,WY
2019-07-02,347.852051,305.985565,48.401871,23.274302
2019-07-03,348.156525,307.460236,48.791798,23.563917
2019-07-05,349.521729,307.412994,48.835117,23.353287
2019-07-08,344.86618,306.269073,48.791798,23.195318
2019-07-09,346.801086,307.989563,49.008411,23.072454
2019-07-10,346.025146,306.335327,49.311687,23.090002
2019-07-11,352.605804,307.157715,48.947765,22.651197
2019-07-12,358.823059,311.506104,48.23724,22.414246
2019-07-15,355.169312,307.479095,48.6185,22.414246
2019-07-16,356.289032,306.117889,48.22858,22.589766
2019-07-17,362.938477,304.38797,48.341221,22.203611
2019-07-18,354.678253,303.575012,48.63583,22.028093
2019-07-19,370.638824,304.539215,47.890644,22.019314
2019-07-22,366.769012,305.5224,48.072613,22.063196
2019-07-23,366.425232,306.269073,48.020618,22.265051
2019-07-24,354.992554,324.210999,48.211246,22.414246
2019-07-25,341.890137,335.318268,47.968628,22.001764
2019-07-26,338.855194,333.238617,48.297901,23.002239
2019-07-29,334.150513,335.989502,48.6185,22.677526
2019-07-30,341.271362,333.607361,47.907978,22.896931
2019-07-31,335.10318,326.668793,48.69648,22.30015
2019-08-01,328.335968,326.148895,49.372337,21.966658
2019-08-02,333.512085,322.500061,49.701599,22.028093
2019-08-05,325.163452,324.059784,48.462532,21.475199
2019-08-06,326.528717,334.874054,49.337673,21.378658
2019-08-07,325.477783,341.651917,49.779583,21.659494
2019-08-08,332.420685,348.77948,50.420792,22.063196
2019-08-09,333.606659,350.27298,50.542095,21.712149
2019-08-12,329.050537,352.797028,50.84536,21.685823
2019-08-13,328.971466,350.386475,49.562969,22.019314
2019-08-14,316.676819,341.651917,49.441662,21.501528
2019-08-15,324.168243,345.244019,49.935555,21.747255
2019-08-16,326.58963,347.786926,50.347229,22.080748
2019-08-19,329.880737,349.838196,50.750153,22.098301
2019-08-20,327.874451,348.826691,50.531166,21.966658
2019-08-21,336.018158,348.949646,50.758904,22.379139
2019-08-22,350.269745,351.672089,51.196865,22.502003
2019-08-23,351.851044,341.727478,50.522411,22.045645
2019-08-26,354.845642,346.595734,51.100517,22.335257
2019-08-27,350.585999,344.260895,50.592484,21.984213
2019-08-28,355.764771,343.996185,50.636284,22.510778
2019-08-29,358.50238,347.805786,50.907814,22.91448
2019-08-30,359.836639,347.749115,51.030437,23.090002
2019-09-03,350.279633,346.198792,52.353058,23.168991
2019-09-04,352.36496,351.7099,52.650867,23.362064
2019-09-05,356.090912,348.278473,52.116566,23.637644
2019-09-06,358.759369,348.904633,52.274227,23.74432
2019-09-09,354.588654,337.577057,51.696129,23.895445
2019-09-10,365.173553,336.875,51.845028,24.304371
2019-09-11,378.466431,340.442169,52.300507,24.882198
2019-09-12,371.241852,346.485382,52.545761,24.775522
2019-09-13,375.323578,345.024384,52.668388,24.366594
2019-09-16,374.424194,352.376862,52.4319,24.526611
2019-09-17,379.711731,355.260925,53.03627,24.739962
2019-09-18,381.895905,358.059601,53.255245,24.731077
2019-09-19,379.948914,356.313965,53.482983,24.704403
2019-09-20,374.957916,349.293518,53.526783,24.57106
2019-09-23,372.625458,350.194824,53.710724,24.553278
2019-09-24,377.191498,350.555359,54.288818,24.491053
2019-09-25,381.688354,355.773163,54.069839,24.748852
2019-09-26,382.3703,362.546936,54.183712,24.802191
2019-09-27,378.38736,352.139587,54.104881,24.704403
2019-09-30,376.025269,355.564484,54.104881,24.624397
2019-10-01,370.559906,348.923553,54.201221,24.224363
2019-10-02,363.06842,343.904968,53.561813,23.762098
2019-10-03,367.723419,345.641022,53.745762,23.948784
2019-10-04,371.311005,350.052612,54.350128,24.019901
2019-10-07,372.141205,349.046906,54.236263,24.011007
2019-10-08,369.729706,349.540161,53.745762,23.433184
2019-10-09,370.579651,348.77179,54.21875,23.664316
2019-10-10,366.665924,349.834351,54.131157,23.699869
2019-10-11,370.540161,343.639252,53.885895,24.117685
2019-10-14,368.820435,347.62381,53.360348,24.153246
2019-10-15,366.626373,343.373657,53.167656,24.206583
2019-10-16,368.079193,345.982574,53.509266,24.624397
2019-10-17,364.748596,337.994476,53.482983,24.908871
2019-10-18,339.981323,331.685669,53.553055,25.139999
2019-10-21,327.192505,332.416168,53.947216,25.540031
2019-10-22,333.06311,334.304077,53.815826,25.895622
2019-10-23,336.522217,335.082031,54.262539,26.233429
2019-10-24,340.524872,338.601746,54.262539,25.904507
2019-10-25,335.860046,327.302582,53.737,25.833393
2019-10-28,336.897766,328.75412,53.439178,26.108974
2019-10-29,344.853729,329.361298,53.360348,26.366774
2019-10-30,342.017242,335.91687,54.85817,26.695692
2019-10-31,335.939117,334.398987,54.884441,25.966738
2019-11-01,341.15744,334.066925,54.534073,26.660131
2019-11-04,346.988495,323.194733,54.078609,26.846815
2019-11-05,354.104401,320.519379,53.745762,26.375664
2019-11-06,350.052307,326.372833,54.174946,26.260099
2019-11-07,355.196686,325.813141,53.176414,26.091192
2019-11-08,348.924011,332.150482,53.658165,26.340107
2019-11-11,364.789612,332.046143,52.966198,26.260099
2019-11-12,360.733734,333.649445,53.15889,25.904507
2019-11-13,360.355988,335.575317,54.227505,25.762278
2019-11-14,365.266785,337.444275,54.647949,26.073416
2019-11-15,369.481689,338.364471,55.028366,26.091192
2019-11-18,367.274811,338.402496,55.276085,26.331217
2019-11-19,364.829376,335.404541,55.037209,26.420111
2019-11-20,368.716248,334.892212,55.541485,26.233429
2019-11-21,364.272675,330.357483,55.453018,25.806726
2019-11-22,369.143707,331.249237,55.638802,25.771168
2019-11-25,370.923126,331.80899,55.010662,26.144533
2019-11-26,371.300873,335.698669,55.072598,26.331217
2019-11-27,365.823456,334.778412,55.125675,26.446783
